 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   8,   projectile: electron
 #  Kinetic energy = 2.50000E+04 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  2.600E+00  5.14715E-04  1.08452E-08  1.67703E-09  1.15497E-11  1.79792E-12
  2.700E+00  5.55063E-04  1.04385E-08  1.65913E-09  1.15464E-11  1.84733E-12
  2.800E+00  5.96931E-04  1.00451E-08  1.64097E-09  1.15250E-11  1.89499E-12
  2.900E+00  6.40321E-04  9.66508E-09  1.62260E-09  1.14874E-11  1.94091E-12
  3.000E+00  6.85233E-04  9.29858E-09  1.60404E-09  1.14353E-11  1.98510E-12
  3.100E+00  7.31665E-04  8.94553E-09  1.58531E-09  1.13703E-11  2.02757E-12
  3.200E+00  7.79618E-04  8.60580E-09  1.56646E-09  1.12939E-11  2.06834E-12
  3.300E+00  8.29092E-04  8.27921E-09  1.54751E-09  1.12074E-11  2.10742E-12
  3.400E+00  8.80086E-04  7.96551E-09  1.52848E-09  1.11121E-11  2.14486E-12
  3.500E+00  9.32601E-04  7.66442E-09  1.50940E-09  1.10092E-11  2.18066E-12
  3.600E+00  9.86636E-04  7.37562E-09  1.49028E-09  1.08998E-11  2.21486E-12
  3.700E+00  1.04219E-03  7.09875E-09  1.47117E-09  1.07847E-11  2.24749E-12
  3.800E+00  1.09927E-03  6.83345E-09  1.45207E-09  1.06650E-11  2.27858E-12
  3.900E+00  1.15786E-03  6.57934E-09  1.43301E-09  1.05414E-11  2.30816E-12
  4.000E+00  1.21797E-03  6.33603E-09  1.41400E-09  1.04147E-11  2.33628E-12
  4.100E+00  1.27961E-03  6.10311E-09  1.39507E-09  1.02854E-11  2.36296E-12
  4.200E+00  1.34276E-03  5.88021E-09  1.37622E-09  1.01543E-11  2.38825E-12
  4.300E+00  1.40743E-03  5.66692E-09  1.35749E-09  1.00218E-11  2.41219E-12
  4.400E+00  1.47362E-03  5.46285E-09  1.33887E-09  9.88847E-12  2.43481E-12
  4.500E+00  1.54133E-03  5.26762E-09  1.32039E-09  9.75465E-12  2.45614E-12
  4.600E+00  1.61056E-03  5.08086E-09  1.30205E-09  9.62076E-12  2.47625E-12
  4.700E+00  1.68131E-03  4.90220E-09  1.28388E-09  9.48712E-12  2.49515E-12
  4.800E+00  1.75357E-03  4.73128E-09  1.26587E-09  9.35404E-12  2.51289E-12
  4.900E+00  1.82735E-03  4.56777E-09  1.24803E-09  9.22178E-12  2.52952E-12
  5.000E+00  1.90265E-03  4.41133E-09  1.23039E-09  9.09055E-12  2.54506E-12
  5.100E+00  1.97947E-03  4.26163E-09  1.21294E-09  8.96057E-12  2.55956E-12
  5.200E+00  2.05780E-03  4.11838E-09  1.19569E-09  8.83200E-12  2.57306E-12
  5.300E+00  2.13765E-03  3.98126E-09  1.17865E-09  8.70499E-12  2.58560E-12
  5.400E+00  2.21902E-03  3.85001E-09  1.16182E-09  8.57966E-12  2.59720E-12
  5.500E+00  2.30190E-03  3.72434E-09  1.14520E-09  8.45612E-12  2.60792E-12
  5.600E+00  2.38630E-03  3.60399E-09  1.12881E-09  8.33446E-12  2.61778E-12
  5.700E+00  2.47222E-03  3.48872E-09  1.11265E-09  8.21474E-12  2.62682E-12
  5.800E+00  2.55965E-03  3.37829E-09  1.09671E-09  8.09703E-12  2.63507E-12
  5.900E+00  2.64859E-03  3.27246E-09  1.08100E-09  7.98138E-12  2.64257E-12
  6.000E+00  2.73905E-03  3.17102E-09  1.06552E-09  7.86780E-12  2.64934E-12
  6.100E+00  2.83103E-03  3.07377E-09  1.05028E-09  7.75633E-12  2.65543E-12
  6.200E+00  2.92452E-03  2.98051E-09  1.03527E-09  7.64699E-12  2.66086E-12
  6.300E+00  3.01952E-03  2.89105E-09  1.02050E-09  7.53977E-12  2.66567E-12
  6.400E+00  3.11604E-03  2.80520E-09  1.00596E-09  7.43468E-12  2.66987E-12
  6.500E+00  3.21407E-03  2.72281E-09  9.91649E-10  7.33171E-12  2.67350E-12
  6.600E+00  3.31362E-03  2.64371E-09  9.77576E-10  7.23085E-12  2.67658E-12
  6.700E+00  3.41468E-03  2.56775E-09  9.63736E-10  7.13208E-12  2.67915E-12
  6.800E+00  3.51725E-03  2.49477E-09  9.50126E-10  7.03538E-12  2.68122E-12
